,DateTime,temp
250,2024-01-06 05:00:00,5.0
251,2024-01-06 05:30:00,5.0
252,2024-01-06 06:00:00,5.0
253,2024-01-06 06:30:00,5.0
254,2024-01-06 07:00:00,5.0
255,2024-01-06 07:30:00,5.0
256,2024-01-06 08:00:00,5.0
257,2024-01-06 08:30:00,5.0
258,2024-01-06 09:00:00,5.0
259,2024-01-06 09:30:00,5.0
260,2024-01-06 10:00:00,5.0
261,2024-01-06 10:30:00,5.0
262,2024-01-06 11:00:00,5.0
263,2024-01-06 11:30:00,5.0
264,2024-01-06 12:00:00,5.0
265,2024-01-06 12:30:00,5.0
266,2024-01-06 13:00:00,5.0
267,2024-01-06 13:30:00,5.0
268,2024-01-06 14:00:00,5.0
269,2024-01-06 14:30:00,5.0
270,2024-01-06 15:00:00,5.0
271,2024-01-06 15:30:00,5.0
272,2024-01-06 16:00:00,5.0
273,2024-01-06 16:30:00,5.0
274,2024-01-06 17:00:00,5.0
275,2024-01-06 17:30:00,5.0
276,2024-01-06 18:00:00,5.0
277,2024-01-06 18:30:00,5.0
278,2024-01-06 19:00:00,5.0
279,2024-01-06 19:30:00,5.0
280,2024-01-06 20:00:00,5.0
281,2024-01-06 20:30:00,5.0
282,2024-01-06 21:00:00,5.0
283,2024-01-06 21:30:00,5.0
284,2024-01-06 22:00:00,5.0
285,2024-01-06 22:30:00,5.0
286,2024-01-06 23:00:00,5.0
287,2024-01-06 23:30:00,5.0
288,2024-01-07 00:00:00,2.0
289,2024-01-07 00:30:00,2.0
290,2024-01-07 01:00:00,2.0
291,2024-01-07 01:30:00,2.0
292,2024-01-07 02:00:00,2.0
293,2024-01-07 02:30:00,2.0
294,2024-01-07 03:00:00,2.0
295,2024-01-07 03:30:00,2.0
296,2024-01-07 04:00:00,2.0
297,2024-01-07 04:30:00,2.0
298,2024-01-07 05:00:00,2.0
299,2024-01-07 05:30:00,2.0
300,2024-01-07 06:00:00,2.0
301,2024-01-07 06:30:00,2.0
302,2024-01-07 07:00:00,2.0
303,2024-01-07 07:30:00,2.0
304,2024-01-07 08:00:00,2.0
305,2024-01-07 08:30:00,2.0
306,2024-01-07 09:00:00,2.0
307,2024-01-07 09:30:00,2.0
308,2024-01-07 10:00:00,2.0
309,2024-01-07 10:30:00,2.0
310,2024-01-07 11:00:00,2.0
311,2024-01-07 11:30:00,2.0
312,2024-01-07 12:00:00,2.0
313,2024-01-07 12:30:00,2.0
314,2024-01-07 13:00:00,2.0
315,2024-01-07 13:30:00,2.0
316,2024-01-07 14:00:00,2.0
317,2024-01-07 14:30:00,2.0
318,2024-01-07 15:00:00,2.0
319,2024-01-07 15:30:00,2.0
320,2024-01-07 16:00:00,2.0
321,2024-01-07 16:30:00,2.0
322,2024-01-07 17:00:00,2.0
323,2024-01-07 17:30:00,2.0
324,2024-01-07 18:00:00,2.0
325,2024-01-07 18:30:00,2.0
326,2024-01-07 19:00:00,2.0
327,2024-01-07 19:30:00,2.0
328,2024-01-07 20:00:00,2.0
329,2024-01-07 20:30:00,2.0
330,2024-01-07 21:00:00,2.0
331,2024-01-07 21:30:00,2.0
332,2024-01-07 22:00:00,2.0
333,2024-01-07 22:30:00,2.0
334,2024-01-07 23:00:00,2.0
335,2024-01-07 23:30:00,2.0
336,2024-01-08 00:00:00,1.5
337,2024-01-08 00:30:00,1.5
338,2024-01-08 01:00:00,1.5
339,2024-01-08 01:30:00,1.5
340,2024-01-08 02:00:00,1.5
341,2024-01-08 02:30:00,1.5
342,2024-01-08 03:00:00,1.5
343,2024-01-08 03:30:00,1.5
344,2024-01-08 04:00:00,1.5
345,2024-01-08 04:30:00,1.5
346,2024-01-08 05:00:00,1.5
347,2024-01-08 05:30:00,1.5
348,2024-01-08 06:00:00,1.5
349,2024-01-08 06:30:00,1.5
350,2024-01-08 07:00:00,1.5
351,2024-01-08 07:30:00,1.5
352,2024-01-08 08:00:00,1.5
353,2024-01-08 08:30:00,1.5
354,2024-01-08 09:00:00,1.5
355,2024-01-08 09:30:00,1.5
356,2024-01-08 10:00:00,1.5
357,2024-01-08 10:30:00,1.5
358,2024-01-08 11:00:00,1.5
359,2024-01-08 11:30:00,1.5
360,2024-01-08 12:00:00,1.5
361,2024-01-08 12:30:00,1.5
362,2024-01-08 13:00:00,1.5
363,2024-01-08 13:30:00,1.5
364,2024-01-08 14:00:00,1.5
365,2024-01-08 14:30:00,1.5
366,2024-01-08 15:00:00,1.5
